web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11,month,Sentiment
1556507388-21464,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@robbystarbuck,Robby Starbuck,"A new eye opening study from @Yale reveals that there are at least double the number of illegal immigrants in the US than we previously thought and there may be as many as 29 MILLION. We need immigration reform, a wall and state of the art border security. https://insights.som.yale.edu/insights/yale-study-finds-twice-as-many-undocumented-immigrants-as-previous-estimates …",1,37,40,1542318246000,1:44 PM - 15 Nov 2018,/robbystarbuck/status/1063185899263942656,,November,negative
1556507388-21557,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@JxhnBinder,John Binder  👽,"GOP voters told midterm exit pollsters that immigration is the most important issue facing the nation, but the Koch agenda continues to take priority.  https://www.breitbart.com/politics/2018/11/14/billionaire-koch-brothers-agenda-prioritized-with-prison-reform-while-trumps-immigration-plans-stall/ …",8,23,43,1542261625000,10:00 PM - 14 Nov 2018,/JxhnBinder/status/1062948416223879169,,November,positive
1556507388-21337,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@rallat,rallat,Global entry... 5minutes to pass immigration as a green card holder. No questions asked. Best money spent ever.,2,,22,1542406758000,2:19 PM - 16 Nov 2018,/rallat/status/1063557147944902657,,November,positive
1556507388-21718,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@HanDusty12,Han #JC4PM2019 🖐,"If this anti immigration scaremongering is a prelude to you voting for May's deal at the risk of British jobs, living standards etc you'll be making a massive strategic error",2,15,72,1542185144000,12:45 AM - 14 Nov 2018,/HanDusty12/status/1062627630887981057,,November,neutral
1556507388-21518,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@Chrisblin,President Christian,"Dear Aremu, your voice was the best shot we had to treat that immigration mess and probably an overhaul of how the aviation system works, but like a goat in a lions den, your voice died on arrival 

BBC was already on it b4 u chickened out, more reasons to appreciate @segalinkhttps://twitter.com/bellanaija/status/1062647855750373376 …",90,1.7K,1.3K,1542289887000,5:51 AM - 15 Nov 2018,/Chrisblin/status/1063066956289503232,,November,positive
1556507388-21836,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@FAIRImmigration,FAIR,"A national exit poll of 1,000 voters in last week’s midterm elections shows that support for immigration enforcement remains strong, and should be an area where bipartisan consensus can be reached in the 116th Congress. https://bit.ly/2B0YYNS",15,74,281,1542119407000,6:30 AM - 13 Nov 2018,/FAIRImmigration/status/1062351908504068096,,November,positive
1556507388-21656,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@ArgBlatteTalar,Angry Foreigner,"To be fair, Swedes don't even know what they vote for. The media covered up the truth on mass immigration for so many years, you'd basically have to get raped to believe the numbers on overrepresentation (only published in alt-media) and it's connection to migration.",10,67,284,1542214638000,8:57 AM - 14 Nov 2018,/ArgBlatteTalar/status/1062751338738737152,,November,positive
1556507388-21465,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@A_Liberty_Rebel,A Libertarian Rebel #StandUp4Brexit,"THIS.
Clear that a dim May listened mainly to supercilious Remainers who told her *stopping* *all* immigration was the racist & xenophobic main driver of the Leave vote, when (a) it never was, & (b) polls showed it was much more about sovereignty & democracy. Major miscalculation https://twitter.com/MrRBourne/status/1062815346250407936 …",3,35,68,1542318152000,1:42 PM - 15 Nov 2018,/A_Liberty_Rebel/status/1063185506895306752,,November,positive
1556507388-21348,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@wef,World Economic Forum,What do nationalism and immigration mean for #economics? https://wef.ch/2JUoFkG pic.twitter.com/wcZS27gjrD,4,21,25,1542398409000,12:00 PM - 16 Nov 2018,/wef/status/1063522128639737857,,November,negative
1556507388-21372,https://twitter.com/search?l=&q=immigration%20since%3A2018-11-13%20until%3A2018-11-17&src=typd&lang=en,@Wunderkid__,WunderKid,"Heard Kupe boys had to sit on the floor at the airport, lol. Nigeria immigration people will humble you.",1,8,21,1542389078000,9:24 AM - 16 Nov 2018,/Wunderkid__/status/1063482993342377984,,November,positive
